,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
21518,0.665,0.85,14.366,-52.1,-102.2,18.757,19.149,18.207,0,0.5500000000000007,0.3919999999999994,0.9420000000000002
7822,1.086,0.391,10.303,43.8,-119.1,17.46,17.536,17.293,0,0.1670000000000016,0.0760000000000005,0.2430000000000021
71682,4.193,1.027,23.78,-59.4,-290.0,18.428,18.927,17.82,1,0.6080000000000005,0.4989999999999988,1.106999999999999
6270,3.734,1.193,13.107,-90.3,-50.7,18.77,19.093,18.313,0,0.4570000000000007,0.3230000000000004,0.7800000000000011
36566,1.941,0.87,23.402,-428.3,-345.6,18.897,19.284,18.307,1,0.5899999999999999,0.3870000000000004,0.9770000000000004
67777,0.981,0.815,11.846,-99.4,27.7,18.267,18.525,17.851,1,0.4160000000000003,0.2579999999999991,0.6739999999999995
69475,4.828,0.114,11.198,36.6,82.4,16.015,15.989,16.072,1,-0.0569999999999986,-0.0259999999999998,-0.0829999999999984
54436,3.949,-0.31,14.895,-353.5,-101.5,19.231,19.778,18.54,1,0.6910000000000025,0.546999999999997,1.2379999999999995
36131,1.776,-0.886,31.064,-105.6,658.5,17.066,17.487,16.482,1,0.5839999999999996,0.4209999999999994,1.004999999999999
96255,1.882,-0.023,15.704,86.7,-1059.5,18.399,18.807,17.832,2,0.5670000000000002,0.4079999999999977,0.974999999999998
103324,0.265,0.479,14.708,101.2,-512.3,19.221,19.695,18.517,2,0.7040000000000006,0.4740000000000002,1.1780000000000008
86820,3.544,0.797,15.361,-921.1,-612.7,19.365,19.993,18.631,2,0.7339999999999982,0.6280000000000001,1.3619999999999983
32012,3.281,-0.178,19.943,-89.1,-49.4,17.338,17.605,16.914,0,0.4239999999999995,0.2669999999999994,0.690999999999999
16352,4.086,0.05,11.757,-37.9,-109.1,18.089,18.29,17.729,0,0.3599999999999994,0.2010000000000005,0.5609999999999999
39547,1.206,0.8,15.497,71.1,-193.6,19.631,20.316,18.932,1,0.6990000000000016,0.6849999999999987,1.3840000000000003
9148,0.17,0.689,14.683,91.5,52.9,19.029,19.457,18.459,0,0.5700000000000003,0.4280000000000008,0.9980000000000012
